id;name;cost;picture;picture_content_type
1;Generic Steel Tuna;53676;../fake-data/blob/hipster.png;image/png
2;Assistant;74211;../fake-data/blob/hipster.png;image/png
3;cross-platform support;98666;../fake-data/blob/hipster.png;image/png
4;virtual wireless Computer;76146;../fake-data/blob/hipster.png;image/png
5;reboot deposit Sri Lanka Rupee;86953;../fake-data/blob/hipster.png;image/png
6;actuating THX;8294;../fake-data/blob/hipster.png;image/png
7;Centers Steel Credit Card Account;63081;../fake-data/blob/hipster.png;image/png
8;navigating Metical;43291;../fake-data/blob/hipster.png;image/png
9;throughput;54662;../fake-data/blob/hipster.png;image/png
10;Internal compressing;55080;../fake-data/blob/hipster.png;image/png
